grafana-1  | logger=migrator t=2026-02-22T14:00:53.399639846Z level=info msg="Executing migration" id="add unique index builtin_role_name back"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.401542075Z level=info msg="Migration successfully executed" id="add unique index builtin_role_name back" duration=1.901129ms
grafana-1  | logger=migrator t=2026-02-22T14:00:53.430802961Z level=info msg="Executing migration" id="add unique index builtin_role_action_scope"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.432551579Z level=info msg="Migration successfully executed" id="add unique index builtin_role_action_scope" duration=1.750819ms
grafana-1  | logger=migrator t=2026-02-22T14:00:53.504678875Z level=info msg="Executing migration" id="add primary key to seed_assigment"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.562154675Z level=info msg="Migration successfully executed" id="add primary key to seed_assigment" duration=57.475501ms
grafana-1  | logger=migrator t=2026-02-22T14:00:53.573821767Z level=info msg="Executing migration" id="add origin column to seed_assignment"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.615736712Z level=info msg="Migration successfully executed" id="add origin column to seed_assignment" duration=41.912144ms
grafana-1  | logger=migrator t=2026-02-22T14:00:53.627713425Z level=info msg="Executing migration" id="add origin to plugin seed_assignment"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.628189457Z level=info msg="Migration successfully executed" id="add origin to plugin seed_assignment" duration=479.333µs
grafana-1  | logger=migrator t=2026-02-22T14:00:53.655950341Z level=info msg="Executing migration" id="prevent seeding OnCall access"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.656326767Z level=info msg="Migration successfully executed" id="prevent seeding OnCall access" duration=379.626µs
grafana-1  | logger=migrator t=2026-02-22T14:00:53.667680237Z level=info msg="Executing migration" id="managed folder permissions alert actions repeated fixed migration"
grafana-1  | logger=migrator t=2026-02-22T14:00:53.668181071Z level=info msg="Migration successfully executed" id="managed folder permissions alert actions repeated fixed migration" duration=505.634µs
grafana-1  | logger=migrator t=2026-02-22T14:00:53.68201861Z level=info msg="Executing migration" id="managed folder permissions library panel actions migration"
