prometheus-1  | ts=2026-02-22T14:00:42.347Z caller=main.go:627 level=info msg="No time or size retention was set so using the default time retention" duration=15d
prometheus-1  | ts=2026-02-22T14:00:42.348Z caller=main.go:671 level=info msg="Starting Prometheus Server" mode=server version="(version=2.55.0, branch=HEAD, revision=91d80252c3e528728b0f88d254dd720f6be07cb8)"
prometheus-1  | ts=2026-02-22T14:00:42.348Z caller=main.go:676 level=info build_context="(go=go1.23.2, platform=linux/amd64, user=root@9fad779131cc, date=20241022-13:47:22, tags=netgo,builtinassets,stringlabels)"
prometheus-1  | ts=2026-02-22T14:00:42.348Z caller=main.go:677 level=info host_details="(Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 663655a38919 localdomain)"
prometheus-1  | ts=2026-02-22T14:00:42.348Z caller=main.go:678 level=info fd_limits="(soft=1048576, hard=1048576)"
prometheus-1  | ts=2026-02-22T14:00:42.348Z caller=main.go:679 level=info vm_limits="(soft=unlimited, hard=unlimited)"
prometheus-1  | ts=2026-02-22T14:00:42.364Z caller=web.go:585 level=info component=web msg="Start listening for connections" address=0.0.0.0:9090
prometheus-1  | ts=2026-02-22T14:00:42.458Z caller=main.go:1197 level=info msg="Starting TSDB ..."
prometheus-1  | ts=2026-02-22T14:00:42.460Z caller=tls_config.go:348 level=info component=web msg="Listening on" address=[::]:9090
prometheus-1  | ts=2026-02-22T14:00:42.460Z caller=tls_config.go:351 level=info component=web msg="TLS is disabled." http2=false address=[::]:9090
prometheus-1  | ts=2026-02-22T14:00:42.492Z caller=head.go:627 level=info component=tsdb msg="Replaying on-disk memory mappable chunks if any"
prometheus-1  | ts=2026-02-22T14:00:42.492Z caller=head.go:714 level=info component=tsdb msg="On-disk memory mappable chunks replay completed" duration=3.001µs
prometheus-1  | ts=2026-02-22T14:00:42.492Z caller=head.go:722 level=info component=tsdb msg="Replaying WAL, this may take a while"
prometheus-1  | ts=2026-02-22T14:00:42.493Z caller=head.go:794 level=info component=tsdb msg="WAL segment loaded" segment=0 maxSegment=0
prometheus-1  | ts=2026-02-22T14:00:42.493Z caller=head.go:831 level=info component=tsdb msg="WAL replay completed" checkpoint_replay_duration=54.804µs wal_replay_duration=1.391094ms wbl_replay_duration=200ns chunk_snapshot_load_duration=0s mmap_chunk_replay_duration=3.001µs total_replay_duration=1.498302ms
prometheus-1  | ts=2026-02-22T14:00:42.511Z caller=main.go:1218 level=info fs_type=EXT4_SUPER_MAGIC
prometheus-1  | ts=2026-02-22T14:00:42.511Z caller=main.go:1221 level=info msg="TSDB started"
prometheus-1  | ts=2026-02-22T14:00:42.511Z caller=main.go:1404 level=info msg="Loading configuration file" filename=/etc/prometheus/prometheus.yml
prometheus-1  | ts=2026-02-22T14:00:42.515Z caller=main.go:1441 level=info msg="updated GOGC" old=100 new=75
prometheus-1  | ts=2026-02-22T14:00:42.515Z caller=main.go:1452 level=info msg="Completed loading of configuration file" filename=/etc/prometheus/prometheus.yml totalDuration=3.485037ms db_storage=3.5µs remote_storage=2.401µs web_handler=600ns query_engine=2µs scrape=951.464µs scrape_sd=165.411µs notify=1.6µs notify_sd=900ns rules=2.2µs tracing=9.201µs
prometheus-1  | ts=2026-02-22T14:00:42.515Z caller=main.go:1182 level=info msg="Server is ready to receive web requests."
prometheus-1  | ts=2026-02-22T14:00:42.515Z caller=manager.go:164 level=info component="rule manager" msg="Starting rule manager..."
